phone,address,speciality,district,title
"
        (212) 868-8989
    ","
        178 Church St,New York, NY 10013
    ","Poke,Salad,Soup","
            TriBeCa        ",Eastward Poké
"
        
    ","
        186 Mott St,New York, NY 10012
    ","Italian,Pasta Shops,Wine Bars","
            Little Italy, Nolita        ",The Sosta
"
        (786) 334-4420
    ","
        470 Broome St,New York, NY 10013
    ","Organic Stores,Coffee & Tea,Juice Bars & Smoothies","
            SoHo        ",Dr Smood
"
        (718) 758-5975
    ","
        8121 New Utrecht Ave,Brooklyn, NY 11214
    ",International Grocery,"
            Bensonhurst        ",J Mart
"
        (862) 246-6431
    ","
        70 Pine St,New York, NY 10005
    ","Desserts,Burgers,Sandwiches","
            Financial District        ",The Cinnamon Snail
"
        (347) 342-1360
    ","
        45-13 34th Ave,Queens, NY 11101
    ",Breweries,"
            Astoria        ",Iconyc Brewing Company
"
        (718) 667-3700
    ","
        2590 Hylan Blvd,Staten Island, NY 10306
    ","Salad,Fast Food,Pizza","
            Oakwood, New Dorp        ",Blaze Fast-Fire’d Pizza
"
        (718) 758-5975
    ","
        8121 New Utrecht Ave,Brooklyn, NY 11214
    ",International Grocery,"
            Bensonhurst        ",J Mart
"
        (862) 246-6431
    ","
        70 Pine St,New York, NY 10005
    ","Desserts,Burgers,Sandwiches","
            Financial District        ",The Cinnamon Snail
"
        (347) 342-1360
    ","
        45-13 34th Ave,Queens, NY 11101
    ",Breweries,"
            Astoria        ",Iconyc Brewing Company
"
        (718) 667-3700
    ","
        2590 Hylan Blvd,Staten Island, NY 10306
    ","Salad,Fast Food,Pizza","
            Oakwood, New Dorp        ",Blaze Fast-Fire’d Pizza
"
        (646) 692-9866
    ","
        90 W Houston,New York, NY 10012
    ","Gastropubs,Cocktail Bars","
            Greenwich Village        ",Railway NYC
"
        (646) 726-4262
    ","
        1 Seventh Ave S,New York, NY 10014
    ",Mexican,"
            West Village        ",El Gallo De Oro
"
        (718) 822-2285
    ","
        3439 E Tremont Ave,Bronx, NY 10465
    ","Pizza,Italian","
            Schuylerville        ",Pizzaniste
"
        (212) 228-0960
    ","
        265 Canal St,New York, NY 10013
    ","Ramen,Desserts,Coffee & Tea","
            SoHo, Chinatown        ",Kuro-Obi At Canal Street Market
"
        (718) 353-3439
    ","
        18204 Horace Harding Expy,Fresh Meadows, NY 11365
    ","Bakeries,Coffee & Tea,Desserts","
            Flushing, Fresh Meadows        ",Iris Tea & Bakery
"
        
    ","
        146 Carder Rd,New York, NY 11231
    ","Bars,Seafood",,Island Oyster
"
        (646) 678-3977
    ","
        237 West 14th St,New York, NY 10011
    ","Cafes,Salad,Sandwiches","
            Chelsea        ",Red Hen
"
        (718) 353-3439
    ","
        18204 Horace Harding Expy,Fresh Meadows, NY 11365
    ","Bakeries,Coffee & Tea,Desserts","
            Flushing, Fresh Meadows        ",Iris Tea & Bakery
"
        (646) 861-0086
    ","
        311 W 17th St,New York, NY 10011
    ","Japanese,Salad,Sushi Bars","
            Chelsea        ",Naoki
"
        (212) 735-6000
    ","
        215 Chrystie St,New York, NY 10002
    ","Breakfast & Brunch,American (New)","
            Lower East Side        ",Public Kitchen
"
        (347) 987-3740
    ","
        70 Pine St,New York, NY 10005
    ",Grocery,"
            Financial District        ",City Acres Market
"
        (347) 657-0874
    ","
        2166 Westchester Ave,Bronx, NY 10462
    ","Sri Lankan,Pakistani,Indian","
            Unionport        ",Caffe Lanka
"
        (917) 745-0101
    ","
        3006 34th St,Astoria, NY 11103
    ","Bakeries,Coffee & Tea,Desserts","
            Astoria        ",Chip NYC
"
        (212) 712-2800
    ","
        2301 Broadway,New York, NY 10024
    ",Hair Salons,"
            Upper West Side        ",Kolorbar
"
        (718) 726-1296
    ","
        31-1 21st St,Astoria, NY 11106
    ",Pizza,"
            Astoria        ",Rosa’s Pizza
"
        (718) 635-3036
    ","
        395 Nostrand Ave,Brooklyn, NY 11216
    ",Bars,"
            Bedford Stuyvesant        ",The Corners
"
        (718) 635-3036
    ","
        395 Nostrand Ave,Brooklyn, NY 11216
    ",Bars,"
            Bedford Stuyvesant        ",The Corners
"
        (917) 265-8054
    ","
        127 E 39th St,New York, NY 10016
    ",Sushi Bars,"
            Midtown East, Murray Hill        ",Sushi Zo Hanare - Midtown
"
        (646) 861-2328
    ","
        972C Amsterdam Ave,New York, NY 10025
    ",Nail Salons,"
            Manhattan Valley        ",Dry Loft Nailbar
"
        
    ","
        1407 Broadway,New York, NY 10018
    ","Sandwiches,Salad,Breakfast & Brunch","
            Midtown West        ",‘Wichcraft
"
        (347) 788-9317
    ","
        69 Mulberry St,New York, NY 10013
    ","Bubble Tea,Ice Cream & Frozen Yogurt,Cafes","
            Chinatown        ",Justin Tea
"
        (646) 588-9983
    ","
        200 West 40th St,New York, NY 10018
    ",Barbers,"
            Theater District, Midtown West        ",Park Ave Barbershop
"
        (718) 230-7852
    ","
        678 Franklin Ave,Brooklyn, NY 11238
    ","Indian,Seafood,Vegan","
            Crown Heights        ",Diwan Grill Indian Cuisine
"
        (718) 954-9801
    ","
        3052 W 21st St,Brooklyn, NY 11224
    ","Desserts,Seafood,Beer Bar","
            Coney Island        ",Kitchen 21
"
        (718) 406-9788
    ","
        44-04 21st St,Long Island City, NY 11101
    ",Bars,"
            Long Island City        ",Bar @ LIC Hotel
"
        (212) 889-9188
    ","
        549 2nd Ave,New York, NY 10016
    ",Chinese,"
            Midtown East, Kips Bay        ",Peking Roast Duck
"
        (718) 606-2299
    ","
        24-20 Jackson Ave,Queens, NY 11101
    ","Sandwiches,Fast Food","
            Hunters Point, Long Island City        ",Pantry Market Eatery
"
        (347) 671-7876
    ","
        20 W 20th St,New York, NY 10011
    ","Eyelash Service,Nail Salons,Waxing","
            Flatiron        ",Serein Lash
"
        (917) 261-2490
    ","
        163 Allen St,New York, NY 10002
    ","Korean,Cocktail Bars,Salad","
            Lower East Side        ",Ms Yoo
"
        (347) 294-4576
    ","
        4601 5th Ave,Brooklyn, NY 11220
    ","Colombian,Bakeries","
            Sunset Park        ",La Abundancia
"
        (718) 246-2665
    ","
        225 Smith St,Brooklyn, NY 11231
    ",Bookstores,"
            Cobble Hill, Gowanus        ",Books are Magic
"
        (646) 707-3375
    ","
        160 E 44th St,New York, NY 10017
    ",Bubble Tea,"
            Midtown East        ",Gong Cha
"
        (917) 832-7542
    ","
        63-36 Woodhaven Blvd,Middle Village, NY 11374
    ",Mexican,"
            Middle Village        ",La Gringa
"
        (201) 204-0720
    ","
        14 Wall St,New York, NY 10005
    ","Bakeries,Coffee & Tea","
            Financial District        ",Feed Your Soul Cafe
"
        (347) 955-5550
    ","
        188 Parkside Ave,Brooklyn, NY 11226
    ",Halal,"
            Prospect Lefferts Gardens, Flatbush        ",New York Halal & Company
"
        (929) 368-2762
    ","
        445 Albee Square W,Brooklyn, NY 11201
    ","Ice Cream & Frozen Yogurt,Desserts","
            Downtown Brooklyn        ",Ample Hills Creamery
"
        (212) 582-1228
    ","
        594 9th Ave,New York, NY 10036
    ","Massage,Day Spas,Reflexology","
            Theater District, Hell's Kitchen, Midtown West        ",Four Seasons Body Work
"
        (917) 475-1571
    ","
        214 3rd Ave,New York, NY 10003
    ","International Grocery,Imported Food","
            Gramercy        ",Asia Market
"
        (908) 242-7069
    ","
        New York, NY 10038
    ",Hair Stylists,"
            South Street Seaport        ",Natasha Vallejo - Hair Stylist
"
        (212) 757-1215
    ","
        10 Columbus Cir,New York, NY 10023
    ",Bookstores,"
            Upper West Side        ",Amazon Books
"
        (718) 676-0074
    ","
        689 E 187th St,Bronx, NY 10458
    ","Pizza,Italian,Desserts","
            Belmont        ",Luconi NYC
"
        (718) 865-8989
    ","
        147-09 45th Ave,Queens, NY 11355
    ","Chicken Shop,Burgers","
            Flushing, Murray Hill        ",PaPa Chicken
"
        (347) 767-4344
    ","
        80-62 Lefferts Blvd,Queens, NY 11415
    ","Bubble Tea,Juice Bars & Smoothies,Tea Rooms","
            Kew Gardens        ",Mr.Wish
"
        (212) 362-7386
    ","
        426 Amsterdam Ave,New York, NY 10024
    ",Kosher,"
            Upper West Side        ",BaZnGa Cafe
"
        (212) 889-9188
    ","
        549 2nd Ave,New York, NY 10016
    ",Chinese,"
            Midtown East, Kips Bay        ",Peking Roast Duck
"
        (646) 922-8473
    ","
        28 7th Ave S,New York, NY 10014
    ","Fish & Chips,Seafood,Cocktail Bars","
            West Village        ",Icelandic Fish & Chips
"
        (212) 757-1215
    ","
        10 Columbus Cir,New York, NY 10023
    ",Bookstores,"
            Upper West Side        ",Amazon Books
"
        (718) 676-0074
    ","
        689 E 187th St,Bronx, NY 10458
    ","Pizza,Italian,Desserts","
            Belmont        ",Luconi NYC
"
        (718) 865-8989
    ","
        147-09 45th Ave,Queens, NY 11355
    ","Chicken Shop,Burgers","
            Flushing, Murray Hill        ",PaPa Chicken
"
        (347) 767-4344
    ","
        80-62 Lefferts Blvd,Queens, NY 11415
    ","Bubble Tea,Juice Bars & Smoothies,Tea Rooms","
            Kew Gardens        ",Mr.Wish
"
        (212) 362-7386
    ","
        426 Amsterdam Ave,New York, NY 10024
    ",Kosher,"
            Upper West Side        ",BaZnGa Cafe
"
        (646) 922-8473
    ","
        28 7th Ave S,New York, NY 10014
    ","Fish & Chips,Seafood,Cocktail Bars","
            West Village        ",Icelandic Fish & Chips
"
        (929) 376-7866
    ","
        424 E 161st St,Bronx, NY 10451
    ","Italian,Wine Bars","
            Melrose        ",Porto Salvo
"
        (212) 367-2067
    ","
        14 Christopher St,New York, NY 10014
    ","Sushi Bars,Japanese","
            West Village        ",Omakase Room by Tatsu
"
        (212) 441-3555
    ","
        25 Cooper Sq,New York, NY 10003
    ","Wine Bars,Cocktail Bars","
            East Village        ",Narcbar
"
        (929) 320-0555
    ","
        19 Eldridge St,New York, NY 10002
    ","Noodles,Taiwanese,Soup","
            Lower East Side, Chinatown        ",My NoodleStation
"
        (929) 320-0555
    ","
        19 Eldridge St,New York, NY 10002
    ","Noodles,Taiwanese,Soup","
            Lower East Side, Chinatown        ",My NoodleStation
"
        (929) 368-2763
    ","
        445 Albee Square W,Brooklyn, NY 11201
    ",Shanghainese,"
            Downtown Brooklyn        ",Jianbing Company
"
        (646) 478-7322
    ","
        391 2nd Ave,New York, NY 10010
    ",Szechuan,"
            Gramercy        ",Sichuan Bistro
"
        (917) 261-4476
    ","
        2714 Frederick Douglass Blvd,New York, NY 10030
    ","Beer, Wine & Spirits","
            Harlem        ",Hamilton Wine House
"
        (718) 360-1815
    ","
        325 Park Ave S,New York, NY 10010
    ",Mediterranean,"
            Flatiron        ",CAVA
"
        (212) 697-0526
    ","
        89 East 42nd St,New York, NY 10017
    ",Bakeries,"
            Midtown East        ",Bien Cuit
"
        (212) 368-0100
    ","
        1768 Amsterdam Ave,New York, NY 10031
    ",Indian,"
            Harlem        ",Mumbai Masala
"
        (646) 683-6178
    ","
        1 Pike St,New York, NY 10002
    ",Bubble Tea,"
            Lower East Side, Chinatown        ",One More Drinks
"
        (718) 321-0800
    ","
        3720 Prince St,Queens, NY 11354
    ","Cajun/Creole,Seafood","
            Downtown Flushing, Flushing        ",Dynamite Seafood
"
        (212) 889-1570
    ","
        162 E 25th St,New York, NY 10010
    ","Breakfast & Brunch,Salad,Cocktail Bars","
            Kips Bay        ",Dog And Bone
"
        (212) 754-9800
    ","
        145 E 47th St,New York, NY 10017
    ","Cocktail Bars,Lounges","
            Midtown East        ",Allora Alto
"
        (718) 484-9770
    ","
        1420 Sheepshead Bay Rd,Brooklyn, NY 11235
    ","Pizza,Salad,Wraps","
            Sheepshead Bay, Brighton Beach        ",La Casa Mia Pizzeria & Restaurante
"
        (646) 481-9905
    ",,Indian,"
            Midtown West        ",Indikitch
"
        (917) 388-3039
    ","
        251 E 53rd St,New York, NY 10022
    ","Cafes,Sandwiches","
            Midtown East        ",Le Petit Parisien
"
        (718) 758-5597
    ","
        822 Kings Hwy,Brooklyn, NY 11223
    ","Bubble Tea,Coffee & Tea,Juice Bars & Smoothies","
            Gravesend, Midwood        ",Bubble Bam
"
        (212) 203-9968
    ","
        133 E 84th St,New York, NY 10028
    ","Waxing,Skin Care,Hair Extensions","
            Upper East Side        ",The Waxing Factory
"
        (718) 459-0300
    ","
        103-15 Queens Blvd,Forest Hills, NY 11375
    ",Pizza,"
            Forest Hills        ",Rosalia’s Pizzeria
"
        (718) 255-9222
    ","
        124 C Hester St,New York, NY 10001
    ","Taiwanese,Chicken Shop","
            Lower East Side, Chinatown        ",OFC Chicken V
"
        (718) 386-3416
    ","
        758 Seneca Ave,Ridgewood, NY 11385
    ","Cafes,Bars,Himalayan/Nepalese","
            Ridgewood        ",While In Kathmandu
"
        (929) 395-4555
    ","
        159-15 Northern Blvd,Flushing, NY 11358
    ","Eyelash Service,Waxing","
            Flushing, Murray Hill        ",Winkwink Eyelash
"
        (718) 459-0300
    ","
        103-15 Queens Blvd,Forest Hills, NY 11375
    ",Pizza,"
            Forest Hills        ",Rosalia’s Pizzeria
"
        (718) 255-9222
    ","
        124 C Hester St,New York, NY 10001
    ","Taiwanese,Chicken Shop","
            Lower East Side, Chinatown        ",OFC Chicken V
"
        (718) 386-3416
    ","
        758 Seneca Ave,Ridgewood, NY 11385
    ","Cafes,Bars,Himalayan/Nepalese","
            Ridgewood        ",While In Kathmandu
"
        (929) 395-4555
    ","
        159-15 Northern Blvd,Flushing, NY 11358
    ","Eyelash Service,Waxing","
            Flushing, Murray Hill        ",Winkwink Eyelash
"
        (917) 595-7012
    ","
        267 Columbus Ave,New York, NY 10023
    ","Coffee & Tea,Breakfast & Brunch","
            Upper West Side        ",Tap NYC
"
        (917) 636-4440
    ","
        2030 Broadway,New York, NY 10023
    ",Yoga,"
            Upper West Side        ",CorePower Yoga
"
        (917) 262-0978
    ","
        157 Second Ave,New York, NY 10003
    ","Noodles,Dim Sum","
            East Village        ",Yuan
"
        (347) 778-5262
    ","
        3113 Avenue U,Brooklyn, NY 11229
    ","Falafel,Middle Eastern,Sandwiches","
            Marine Park        ",Falafapita Marine Park
"
        (212) 510-7200
    ","
        120 Lexington Ave,New York, NY 10016
    ",Indian,"
            Flatiron        ",Deccan Spice
"
        (347) 689-2331
    ","
        166 N 7th St,Brooklyn, NY 11211
    ","Juice Bars & Smoothies,Ice Cream & Frozen Yogurt","
            Williamsburg - North Side        ",Pressed Juicery
"
        (929) 395-4555
    ","
        159-15 Northern Blvd,Flushing, NY 11358
    ","Eyelash Service,Waxing","
            Flushing, Murray Hill        ",Winkwink Eyelash
"
        (707) 972-4052
    ","
        290 Mulberry St,New York, NY 10012
    ",Nail Salons,"
            Nolita        ",Art Nail NYC
"
        (212) 256-0111
    ","
        113 W 10th St,New York, NY 10011
    ","Blow Dry/Out Services,Hair Stylists,Makeup Artists","
            West Village        ",Blo Blow Dry Bar
"
        (917) 933-9886
    ","
        6815 Bay Pkwy,Brooklyn, NY 11204
    ","Bubble Tea,Ice Cream & Frozen Yogurt","
            Bensonhurst        ",80’s Tea
"
        (347) 379-7317
    ","
        103 Washington St,New York, NY 10006
    ",Chinese,"
            Financial District        ",Jiangnan Chinese Cuisine
"
        (646) 896-1150
    ","
        80 Thompson St,New York, NY 10012
    ","Men's Hair Salons,Barbers","
            South Village        ",Craftsman Barbershop
"
        (212) 470-4555
    ","
        297 Grand St,New York, NY 10002
    ",Hair Salons,"
            Lower East Side        ",Color Matrix Salon
"
        
    ","
        50 Malcolm X Blvd,Brooklyn, NY 11221
    ","Desserts,Donuts","
            Bedford Stuyvesant        ",Brooklyn Doughnutry
"
        (908) 318-4220
    ","
        605 10th Ave,New York, NY 10036
    ","Farmers Market,Fruits & Veggies,Organic Stores","
            Hell's Kitchen, Midtown West        ",The Farmacy NYC
"
        (718) 638-1000
    ","
        681 Franklin Ave,Brooklyn, NY 11238
    ",Nail Salons,"
            Crown Heights        ",Honey Nail Salon
"
        (718) 933-4671
    ","
        66 Boerum Pl,Brooklyn, NY 11201
    ",Gyms,"
            Brooklyn Heights        ",Planet Fitness
"
        (718) 576-3571
    ","
        394 Bedford Ave,Brooklyn, NY 11249
    ",Pan Asian,"
            Williamsburg - South Side, South Williamsburg        ",Chive Blossom NYC
"
        (646) 726-4633
    ","
        191 Grand St,New York, NY 10013
    ","Cocktail Bars,Italian","
            Little Italy        ",Dante at GENUINE
"
        (646) 649-2944
    ","
        64 Carmine St,New York, NY 10014
    ","Juice Bars & Smoothies,Breakfast & Brunch,Wraps","
            West Village        ",Juice & Java
"
        (212) 420-4777
    ","
        127 Macdougal St,New York, NY 10012
    ","Champagne Bars,Seafood","
            Greenwich Village        ",Air’s
"
        (718) 638-1288
    ","
        53 6th Ave,Brooklyn, NY 11217
    ","Chicken Shop,American (Traditional)","
            Prospect Heights        ",Flippin Chicken
"
        (646) 504-6864
    ","
        13 Christopher St,New York, NY 10014
    ","Coffee & Tea,Home Decor,Venues & Event Spaces","
            West Village        ",Ad Hoc | Collective
"
        (646) 448-6688
    ","
        464 6th Ave,New York, NY 10011
    ",Middle Eastern,"
            Greenwich Village        ",Kubeh
"
        (212) 229-9991
    ","
        513 6th Ave,New York, NY 10011
    ","Ramen,Sushi Bars,Dim Sum","
            West Village        ",Asami Shanghai
"
        (347) 763-1758
    ","
        86 5th Ave,Brooklyn, NY 11217
    ","Pizza,Italian","
            Park Slope        ",Pinsa Lab
"
        (347) 763-1758
    ","
        86 5th Ave,Brooklyn, NY 11217
    ","Pizza,Italian","
            Park Slope        ",Pinsa Lab
"
        
    ","
        127 Avenue C,New York, NY 10009
    ",Bars,"
            East Village, Alphabet City        ",Loverboy
"
        
    ","
        567 Vanderbilt Ave,Brooklyn, NY 11238
    ",Pizza,"
            Prospect Heights        ",Brooklyn’s Homeslice Pizzeria
"
        (718) 383-0612
    ","
        192 Driggs Ave,Brooklyn, NY 11222
    ","Cheese Shops,Meat Shops,Sandwiches","
            Greenpoint        ",Monger’s Palate
"
        (718) 389-3606
    ","
        90 Calyer St,Brooklyn, NY 11222
    ",American (Traditional),"
            Greenpoint        ",Chez Ma Tante
"
        (212) 256-0480
    ","
        37 St Marks Pl,New York, NY 10003
    ","Hot Pot,Barbeque,Seafood","
            East Village        ",99 Favor Taste
"
        
    ",,"Desserts,Food Trucks,Chocolatiers & Shops",,Choc By A Doc
"
        (646) 682-7717
    ","
        1375 Broadway,New York, NY 10018
    ","Coffee & Tea,Gluten-Free,Breakfast & Brunch","
            Midtown West        ",Bluestone Lane
"
        (516) 643-8149
    ","
        9 W 40th St,New York, NY 10018
    ",Food Court,"
            Midtown West        ",Feast on 40th
"
        (917) 909-1207
    ","
        156 Lawrence St,Brooklyn, NY 11201
    ",Bubble Tea,"
            Downtown Brooklyn        ",Gong Cha
"
        (646) 682-7717
    ","
        1375 Broadway,New York, NY 10018
    ","Coffee & Tea,Gluten-Free,Breakfast & Brunch","
            Midtown West        ",Bluestone Lane
"
        (516) 643-8149
    ","
        9 W 40th St,New York, NY 10018
    ",Food Court,"
            Midtown West        ",Feast on 40th
"
        (917) 909-1207
    ","
        156 Lawrence St,Brooklyn, NY 11201
    ",Bubble Tea,"
            Downtown Brooklyn        ",Gong Cha
"
        (212) 986-2800
    ","
        245 E 44th St,New York, NY 10017
    ",Japanese,"
            Midtown East        ",MIFUNE New York
"
        (212) 334-0489
    ","
        826 10th Ave,New York, NY 10019
    ","Hookah Bars,Mediterranean","
            Hell's Kitchen, Midtown West        ",Gardenia Terrace
"
        (718) 801-8393
    ","
        220 36th St,Brooklyn, NY 11232
    ",Burgers,"
            Sunset Park        ",Burger Joint
"
        (212) 879-6200
    ","
        300 E 86th St,New York, NY 10028
    ",Ice Cream & Frozen Yogurt,"
            Yorkville, Upper East Side        ",Tasti D-lite
"
        (212) 221-9560
    ","
        28 W 44th St,New York, NY 10036
    ","Sushi Bars,Japanese,Peruvian","
            Midtown West        ",Sen Sakana
"
        (718) 359-9797
    ","
        36-50 Main St,Queens, NY 11354
    ","Cantonese,Seafood,Chicken Shop","
            Downtown Flushing, Flushing        ",Roadside Chicken And Seafood
"
        (929) 226-6237
    ","
        229 W 43rd St,New York, NY 10036
    ",Tacos,"
            Theater District, Midtown West        ",Los Tacos No.1
"
        (646) 801-0238
    ","
        81 Hester St,New York, NY 10002
    ","Accessories,Furniture Stores","
            Lower East Side, Chinatown        ",Chop Suey Club
"
        (929) 226-6237
    ","
        229 W 43rd St,New York, NY 10036
    ",Tacos,"
            Theater District, Midtown West        ",Los Tacos No.1
"
        (212) 315-2757
    ","
        685A 8th Ave,New York, NY 10036
    ","Sushi Bars,Salad","
            Theater District, Hell's Kitchen, Midtown West        ",Lil Charley Sushi & Salad Bar
"
        (212) 625-1620
    ","
        198 Bowery,New York, NY 10012
    ","Men's Clothing,Bespoke Clothing","
            Nolita        ",GROUPE
"
        (212) 398-4646
    ","
        570 8th Ave,New York, NY 10018
    ",Burgers,"
            Midtown West        ",Black Burger
"
        (718) 552-2065
    ","
        156 Knickerbockr Ave,Brooklyn, NY 11237
    ","Sushi Bars,Ramen","
            Bushwick        ",Ajihei Bushwick
"
        (212) 510-8005
    ","
        357 W 49th St,New York, NY 10019
    ","Poke,Japanese,Seafood","
            Theater District, Hell's Kitchen, Midtown West        ",Poké Inn
"
        
    ","
        430 Park Ave,New York, NY 10022
    ","Cafes,Coffee & Tea,Juice Bars & Smoothies","
            Midtown East        ",JOE & THE JUICE
"
        (201) 626-4046
    ","
        38 Congress St,Jersey City, NJ 07307
    ","Cafes,Breakfast & Brunch,Vegetarian",,The Cliff
"
        (718) 897-1575
    ","
        63-55 Wetherole St,Queens, NY 11374
    ",Thai,"
            Rego Park, Rego Park        ",UThai
"
        
    ","
        1745 Sheepshead Bay Rd,Brooklyn, NY 11235
    ",Coffee & Tea,"
            Sheepshead Bay        ",Orso Coffee
"
        (212) 256-0788
    ","
        1070 1st Ave,New York, NY 10022
    ","Coffee Roasteries,American (Traditional),Tea Rooms","
            Midtown East        ",Pink Moose
"
        
    ",,Hot Dogs,"
            Coney Island        ",Feltman’s Of Coney Island
"
        (347) 596-3702
    ","
        7 Rochester Ave,Brooklyn, NY 11233
    ",Mediterranean,"
            Bedford Stuyvesant        ",Mama Kitchen
"
        (212) 683-3399
    ","
        35 E 32nd St,New York, NY 10016
    ",Nail Salons,"
            Midtown East, Murray Hill        ",Enail
"
        
    ","
        1369 6th Ave,New York, NY 10019
    ","Japanese,Asian Fusion","
            Midtown West        ",Maki Maki
"
        (347) 350-6152
    ","
        1046 Flatbush Ave,Brooklyn, NY 11226
    ",Mexican,"
            Flatbush, Ditmas Park        ",Los Tres Chiflados
"
        (212) 531-1110
    ","
        1407 Broadway,New York, NY 10018
    ",Juice Bars & Smoothies,"
            Midtown West        ",Juice Generation
"
        (718) 407-0747
    ","
        70-21 Austin St,Forest Hills, NY 11375
    ",Juice Bars & Smoothies,"
            Forest Hills        ",Power Juice Bar
"
        (212) 586-2000
    ","
        35 W End Ave,New York, NY 10023
    ",Chinese,"
            Upper West Side        ",La Salle Dumpling Room
"
        (646) 589-5432
    ","
        90-2 Queens Blvd,Queens, NY 11373
    ","Permanent Makeup,Eyelash Service","
            Elmhurst        ",Cilium Lash Studio
"
        (718) 239-1555
    ","
        1756 E 174th St,Bronx, NY 10472
    ","Salad,Juice Bars & Smoothies,Wraps","
            West Farms        ",Naked Fitness Cafe
"
        (718) 491-6000
    ","
        7317 5th Ave,Brooklyn, NY 11209
    ","Fast Food,Moroccan","
            Bay Ridge        ",Bab Marrakech
"
        (718) 433-9399
    ","
        3066 Steinway St,Queens, NY 11103
    ","Colombian,Fast Food","
            Astoria        ",La Vecina
"
        (929) 522-0145
    ","
        99-10 Northern Blvd,Corona, NY 11368
    ","Nail Salons,Massage,Eyebrow Services",,L’Chic Splash Spa
"
        (718) 439-1113
    ","
        5806 6th Ave,Brooklyn, NY 11220
    ",Fruits & Veggies,"
            Sunset Park        ",MK Durian International Group
"
        (347) 531-0873
    ","
        74-17 Metropolitan Ave,Queens, NY 11379
    ",Peruvian,"
            Middle Village        ",Kantu
"
        (929) 328-0392
    ","
        77-16 Woodside Ave,Elmhurst, NY 11373
    ",Thai,"
            Elmhurst        ",Hug Esan
"
        (917) 745-6642
    ","
        9905 3rd Ave,Brooklyn, NY 11209
    ","Cafes,Burgers,Creperies","
            Fort Hamilton, Bay Ridge        ",Beets and Carrots
"
        (929) 208-1122
    ","
        9114 63rd Dr,Queens, NY 11374
    ","Seafood,Mediterranean","
            Rego Park, Rego Park        ",Old Jaffa Fish House
"
        (718) 520-8600
    ","
        113-30 Queens Blvd,Forest Hills, NY 11375
    ","Gastropubs,Diners,Barbeque","
            Forest Hills        ",Queens Bully
"
        (646) 484-6698
    ","
        63 Thompson St,New York, NY 10012
    ",Barbers,"
            South Village        ",Barbers Point
"
        (646) 690-2133
    ","
        103 St Marks Pl,New York, NY 10009
    ",Tattoo,"
            East Village, Alphabet City        ",CJ Tattoo
"
        (646) 395-7457
    ","
        79 Greene St,New York, NY 10012
    ",Tea Rooms,"
            SoHo        ",Pure Leaf Tea House
"
        (347) 294-4600
    ","
        477 Bergen St,Brooklyn, NY 11217
    ",Hair Salons,"
            Prospect Heights        ",Hair & Co BKLYN
"
        (646) 756-4057
    ","
        315 5th Ave,Manhattan, NY 10016
    ",Eyelash Service,"
            Koreatown, Midtown East, Midtown West        ",I Love Lash
"
        (646) 912-9382
    ","
        379 Park Ave S,New York, NY 10016
    ","Men's Hair Salons,Makeup Artists,Blow Dry/Out Services","
            Flatiron        ",Davide Hair Studio
"
        (551) 253-0282
    ","
        85 Kearny Ave,Kearny, NJ 07032
    ","Chinese,Asian Fusion,Noodles",,The Dumpling Kitchen
"
        (888) 399-1418
    ","
        124 W 24th St,New York, NY 10011
    ","Day Spas,Makeup Artists,Skin Care","
            Chelsea        ",LesMakeUp Spa Room
"
        (201) 536-8899
    ","
        420 Grand St,Jersey City, NJ 07302
    ","Grocery,Seafood Markets",,99 Ranch Market
"
        (718) 401-6000
    ","
        812 E 149th St,Bronx, NY 10455
    ",Mexican,"
            Mott Haven        ",La Patrona Restaurant
"
        (917) 563-1983
    ","
        136-20 Roosevelt Ave,Queens, NY 11354
    ",Szechuan,"
            Downtown Flushing, Flushing        ",Da Xi
"
        (201) 728-4949
    ","
        259 Valley Blvd,Wood-Ridge, NJ 07075
    ","Mediterranean,Turkish,Halal",,The Kebabci
"
        (212) 826-3399
    ","
        220 E 60th St,New York, NY 10022
    ","Nail Salons,Waxing,Massage",,A Plus Nails & Spa
"
        (646) 998-5319
    ","
        1169 2nd Ave,New York, NY 10065
    ",Barbers,"
            Upper East Side        ",Master Barbers
"
        (201) 714-4790
    ","
        1350 Willow Ave,Hoboken, NJ 07030
    ",Grocery,,Trader Joe’s
"
        (917) 563-1983
    ","
        136-20 Roosevelt Ave,Queens, NY 11354
    ",Szechuan,"
            Downtown Flushing, Flushing        ",The Big Szechuan Cuisine
"
        (201) 763-7119
    ",,"Ramen,Noodles",,Kitakata Ramen Ban Nai - Jersey City
"
        (201) 946-4177
    ","
        467 Communipaw Ave,Jersey City, NJ 07304
    ","Seafood,Salad,American (Traditional)",,Hooked JC
"
        
    ","
        15 2nd St,Jersey City, NJ 07302
    ",Beer Gardens,,Lutze Biergarten
"
        (917) 563-1983
    ","
        136-20 Roosevelt Ave,Queens, NY 11354
    ",Szechuan,"
            Downtown Flushing, Flushing        ",The Big Szechuan Cuisine
"
        (201) 763-7119
    ",,"Ramen,Noodles",,Kitakata Ramen Ban Nai - Jersey City
"
        (201) 946-4177
    ","
        467 Communipaw Ave,Jersey City, NJ 07304
    ","Seafood,Salad,American (Traditional)",,Hooked JC
"
        
    ","
        15 2nd St,Jersey City, NJ 07302
    ",Beer Gardens,,Lutze Biergarten
